IRR,Request Count,Mean Latency (for window),99th Latency
0.0,102379,1.0171043753040114,10.05453433999999
0.0,126906,1.9569362991505599,14.726412799999991
0.0,229777,0.8931638280370561,9.258024139999943
0.0,338095,0.8903416211866999,9.086679399999994
0.0,446378,1.151176464940309,9.67893760000001
0.0,555574,1.597669026905706,9.277397180000005
0.0,649977,1.3924091374725907,9.357451500000003
0.001,757036,1.0031586227268046,9.526114509999976
0.0,866875,0.8181619520611775,9.195326340000001
0.0,975351,1.2244629069903072,9.674932679999978
0.0,1069818,1.2015280762157157,10.54300724999994
0.0,1178296,1.0265584257312212,9.72151434
