IRR,Request Count,Mean Latency (for window),99th Latency
-1,36372,807.644915363742,7701.200000000004
-1,61433,629.0860769037447,7290.0
-1,86514,433.647029945999,7265.5199999999995
-1,110774,418.240673282251,7260.759999999999
-1,135035,262.1170495209512,15376.0
-1,159635,28.306094929881336,282.0
-1,185410,21.068785578747626,174.0100000000002
-1,209685,520.5762133468149,7274.0
-1,234285,514.9238263950398,7308.67
-1,259025,727.5610766045548,7314.71
-1,284650,21.57464756182112,179.90000000000146
-1,309573,20.63416953988824,191.8799999999992
-1,334413,20.682667297233387,167.40999999999985
-1,359199,19.917487542009503,158.10000000000215
-1,383937,790.357944837686,7708.049999999999
-1,409135,703.9169341378868,7324.0
-1,434167,26.80391912131802,287.6099999999997
-1,458002,43.56764620308408,313.25
-1,484392,21.0663669703064,201.0
-1,509192,22.733201350879234,236.1200000000008
-1,533554,230.87959352475482,7273.360000000001
-1,558177,22.323840422975245,205.0
-1,583001,19.800744878957172,177.0
-1,607511,22.69206805655404,239.59000000000196
-1,632497,23.843819306641763,203.31999999999968
-1,657153,663.1608137877413,7314.0
-1,681705,21.696087564042852,222.1200000000008
-1,706234,24.441396810053163,209.45999999999913
-1,731161,779.3047407019382,7426.780000000001
-1,755703,796.1314308155518,7613.400000000002
