289,206
159,493
581,303
271,588
479,355
47,544
333,184
114,116
294,599
271,588
290,206
284,307
284,152
285,206
287,206
283,308
286,305
285,306
289,302
287,304
280,206
118,118
110,114
109,117
112,112
288,206
108,112
107,111
107,115
335,191
109,112
332,181
108,113
104,117
109,111
112,114
106,116
111,114
115,113
108,112
109,112
113,114
118,110
116,116
108,111
103,113
106,112
99,113
100,114
99,110
97,114
99,113
284,308
281,305
98,114
283,307
93,114
281,309
285,304
95,113
