throughput,latency,threads,p99 latency
173.73333333333332,25.129515038134983,424,274.5
175.96666666666667,28.27572016460905,424,336.5599999999986
178.91666666666666,25.76029391376681,163,277.8699999999999
178.81666666666666,22.829496898690557,163,243.4399999999996
175.88333333333333,21.56132075471698,372,209.1499999999987
176.41666666666666,22.25539879067089,372,222.0
177.08333333333334,22.5393003823821,91,205.39000000000033
180.03333333333333,20.65014577259475,91,206.89999999999964
176.55,21.059512057537724,421,179.2000000000007
175.68333333333334,21.595047237331805,421,208.65000000000052
174.73333333333332,21.345717974465643,513,184.0
175.38333333333333,23.415404219170323,513,253.71999999999935
176.23333333333332,20.93430034129693,74,172.34000000000015
177.53333333333333,21.329365635065116,74,200.0
175.7,19.962726757369616,42,151.8199999999997
176.76666666666668,20.4876777918603,42,151.0
179.71666666666667,21.088153503893214,20,187.0
179.8,21.65601555987774,20,165.0100000000002
171.7,19.987803107303616,20,144.23999999999978
178.55,21.196368243243242,20,180.74999999999906
180.4,19.914485654303707,20,156.53999999999996
173.43333333333334,20.67836593785961,20,168.9400000000005
178.06666666666666,19.92747500352063,174,149.97999999999954
176.01666666666668,21.38840954846132,174,199.44999999999982
177.96666666666667,20.691546508340398,20,161.5
174.06666666666666,20.825146785049405,20,195.6800000000003
178.75,20.597922223782113,20,186.7600000000002
177.76666666666668,21.088823611693943,20,178.5
175.9,20.33119658119658,20,164.78999999999996
177.33333333333334,20.640812297278238,20,182.09000000000015
174.43333333333334,21.247465371983434,20,223.0
176.6,21.409592529711375,20,269.619999999999
177.05,20.657251800593137,20,161.1800000000003
176.41666666666666,21.665950744558995,20,259.14999999999964
179.06666666666666,20.245290975541185,20,159.85000000000036
176.41666666666666,20.239948856371644,20,164.20000000000252
180.88333333333333,20.62240135765804,600,178.5599999999995
179.93333333333334,20.718445249373087,600,189.39999999999964
176.25,21.47092038396386,600,183.84000000000196
176.01666666666668,20.882054176072234,600,168.0
174.88333333333333,20.136032041195826,600,159.07999999999993
177.21666666666667,22.514518165240567,600,270.71000000000004
175.15,20.753412969283275,20,171.35000000000036
177.75,19.827595976767245,20,157.39000000000033
178.1,19.81567468692838,600,149.0
175.35,21.164379725567066,600,185.84999999999854
178.81666666666666,20.9945155393053,230,196.8800000000001
173.83333333333334,19.313686026451983,230,136.86000000000058
174.58333333333334,20.91966562765656,239,174.42000000000004
174.66666666666666,23.55097983527407,239,285.1399999999994
176.43333333333334,20.731638418079097,20,188.0
178.2,19.59966216216216,20,139.96000000000004
176.45,19.431528210944144,20,143.24999999999906
179.01666666666668,20.50494489968918,20,191.0
176.38333333333333,20.48868778280543,20,165.0
176.23333333333332,21.29526226734348,20,167.07999999999993
177.43333333333334,20.201942020827467,20,182.75999999999837
175.81666666666666,20.77609595887477,20,190.80000000000018
175.88333333333333,19.733190271816877,20,153.15999999999985
174.4,19.307549857549855,20,137.94999999999982
