Case,Average Throughput (req/seq),Mean Latency (ms)
browsing_event_200_10,2469.375,1.7647719025857973
browsing_event_200_100,1039.7944444444443,47.332399493391705
browsing_event_200_150,790.4527777777778,79.07698449653344
browsing_event_200_200,968.4305555555555,28.680838433188114
browsing_event_200_250,1694.627777777778,8.416444933989505
browsing_event_200_400,753.5305555555555,125.60375705159666
browsing_event_200_50,935.3583333333333,33.714999903488795
browsing_prefork_10,30.19444444444445,1.1210784378277188
browsing_prefork_100,1789.802777777778,10.871887096188939
browsing_prefork_150,2258.383333333333,1.9725240505312043
browsing_prefork_20,46.42222222222223,1.1419601557585273
browsing_prefork_200,2383.036111111112,1.3010142012369235
browsing_prefork_250,2368.7194444444444,1.3691758445954045
browsing_prefork_400,1958.0805555555557,5.214086995066597
browsing_prefork_50,622.6305555555555,2.5711585174496907
browsing_worker_200_10,62.00555555555555,2.057308999147145
browsing_worker_200_100,915.9888888888888,86.24265766998143
browsing_worker_200_150,1071.7777777777776,77.76464490821803
browsing_worker_200_200,1343.4666666666667,18.735154526830964
browsing_worker_200_250,869.727777777778,50.24209201714046
browsing_worker_200_400,942.4055555555556,154.65820144066026
browsing_worker_200_50,1644.3111111111111,13.183943252637059
