throughput,latency,threads
117.85,34.56808527789563,300
160.9,178.92219596087094,300
58.7,1272.8322172061328,300
92.3,1319.7119945681693,300
31.5,1220.6506380952383,300
7.9,2345.2299605263156,300
5.65,3156.1900973451325,300
2.15,4761.955348837209,300
10.65,3942.6253849765258,300
2.65,7868.685905660377,300
2.75,3849.944436363636,300
4.9,8882.758224489795,300
8.0,2659.477,300
3.55,7070.703436619719,300
5.35,3230.565785046729,300
10.45,3430.3960143540667,300
4.5,222258.99777777775,300
2.65,163934.20941509432,300
2.6,273458.7535,300
1.9,199619.8879473684,300
2.25,27473.25091111111,300
1.25,34297.33664,300
0.45,105940.58666666667,300
1.55,108904.10874193549,300
1.35,117321.30525925926,300
0.95,82165.46157894738,300
0.7,132128.63721428573,300
1.1,131155.16859090907,300
0.8,79828.696375,300
1.45,102530.73565517241,300
1.65,79122.64148484847,300
4.65,209358.46366304348,300
4.7,123313.03621276596,300
3.1,65433.435,300
2.5,72011.13657999999,300
1.85,40235.805378378376,300
