387,442
275,364
71,176
524,366
538,475
154,576
392,507
494,374
278,363
272,366
525,370
519,369
274,363
276,366
526,366
523,366
518,373
525,367
525,362
525,364
525,374
387,441
385,446
397,443
389,444
517,371
524,371
528,371
517,376
275,365
278,369
268,369
72,176
75,176
74,176
78,176
77,176
78,176
76,176
276,363
76,176
76,176
277,366
274,371
77,176
73,176
73,176
77,176
77,176
77,176
75,176
75,176
77,176
77,176
77,176
77,176
76,177
76,179
76,178
76,182
