204,92,10
371,271,18
82,37,8
252,319,4
588,422,4
105,392,12
226,143,7
290,257,7
183,51,7
204,291,7
508,301,7
176,51,7
199,45,5
143,45,8
172,47,7
177,40,8
531,52,7
173,52,7
179,48,7
177,50,7
181,50,7
182,50,7
178,42,11
177,52,7
143,45,8
178,41,8
181,44,8
503,295,7
526,52,7
109,395,12
255,317,4
534,47,7
530,55,7
503,307,7
182,51,7
179,44,11
528,53,7
182,46,11
82,37,8
101,393,12
505,301,7
504,297,7
506,302,7
510,299,7
493,298,7
501,300,7
533,48,7
534,48,7
518,50,7
250,320,4
501,309,7
534,48,7
178,44,11
520,50,7
535,51,7
530,54,7
177,51,7
529,54,7
82,37,8
528,50,7
