throughput,latency,threads
4.15,144.78286522137404,66
4.05,101.93186124528302,66
534.3,10.431785750691244,66
0.9,18.12342170774223,57
0.3,41.223408275333895,51
0.3,43203.174363,45
0.35,64959.72634542105,38
7.5,11057.913125398773,33
221.75,421.52731731569776,125
3100.05,55.78661738296946,195
2245.1,31.825112196489997,195
1425.85,25.23183126439481,162
0.4,17.768367628002036,154
0.25,33.99092627403089,149
3.0,9507.844873054793,157
272.8,114.47866569860533,157
4.9,96.08114750089062,157
116.95,146.229423593143,246
80.55,322.5076624152668,278
87.95,256.38249168225605,278
57.45,331.0362097874051,233
1123.75,53.365736193397154,233
330.15,45.45364408783538,233
73.7,28.614741690134853,200
0.1,122.28374175148957,198
0.1,648.6098215832205,196
0.05,163413.8881814,195
0.1,258768.05602679998,193
0.05,326691.27523775,192
0.1,345114.4253094,190
0.1,318802.51432099997,188
0.05,362195.28177659994,187
0.1,396973.160115,185
0.05,381007.32618925,184
0.1,387040.938674,182
0.1,429270.7411022,180
