throughput,latency,threads
22.1,266.07098338888886,178
352.5,177.9276524107237,178
19.25,204.8422457883712,178
0.1,207.22228497687237,176
0.1,1183.1624808611823,174
0.1,60072.3729195,172
0.1,83830.37516066666,170
0.15,110600.52020942856,167
0.35,135808.96826574998,160
0.1,147371.18082283332,158
0.35,163873.5116881875,151
0.3,185858.35961493332,145
86.1,1830.6666210305475,178
3.85,1332.4940668781162,178
13.2,1030.783909758119,178
3.4,7236.414254449877,178
3.4,7935.8412291674995,178
0.5,20025.6288435137,178
0.05,17509.36130520253,177
0.1,87423.28054592307,175
0.1,152416.486839,173
21.8,2852.9746686704543,356
10.75,2311.5868168131697,356
7.95,1760.4221271148147,356
1.15,2861.656551385013,192
0.1,5212.873702201086,190
0.15,72913.87787003572,187
2.0,49581.65293597777,278
0.55,41988.35030016666,300
0.3,28950.82346277193,309
0.1,80657.53929366666,199
0.1,164550.71663979997,197
0.1,297181.1927266667,195
2.05,60051.895770111114,279
0.15,56673.413370782604,285
0.3,44759.75657276,296
