211,237,17
600,242,7
515,297,11
149,118,17
479,179,13
547,359,8
230,468,5
65,150,3
229,436,5
232,531,5
378,455,5
518,398,8
571,321,8
563,321,8
586,128,13
381,231,13
573,558,8
576,405,8
577,59,8
578,37,8
223,320,5
600,78,8
423,175,13
408,596,13
407,471,13
407,472,13
414,569,13
319,341,13
249,560,13
217,105,13
