IRR,Request Count,Mean Latency (for window),99th Latency
-1,18752,50.913279773156894,567.0
-1,31301,39.70545977011494,358.6899999999987
-1,43967,34.47669645013281,301.3799999999992
-1,57001,38.98072009291521,348.96000000000004
-1,69686,37.456481048198405,326.75
-1,82253,33.02687916270219,302.84999999999945
-1,95104,34.017898651789864,304.0
-1,107889,34.82705684816503,316.3000000000002
-1,120458,35.011853959222385,323.050000000002
-1,133439,34.85082747676264,310.7600000000002
-1,145903,31.892142857142858,283.0
-1,158572,33.87532652576585,304.89000000000027
-1,171360,34.11976878612716,300.21999999999935
-1,184127,33.257293161166906,292.0
-1,196657,34.60909309598268,298.10000000000036
-1,209476,35.02481447124305,301.8699999999999
-1,222335,32.639859320046895,296.3400000000001
-1,235328,39.49580615097857,363.0699999999997
-1,248012,31.439343482397714,279.0
-1,260756,32.95737164390014,290.1799999999984
-1,273476,31.809457255998137,282.0
-1,286254,32.86149053438773,292.0
-1,298981,34.72752874911992,331.0
-1,311408,31.913805877994566,280.0
-1,324217,35.1244989389295,315.3199999999997
-1,336721,35.49702451797191,323.89999999999776
-1,349450,34.28296122209166,312.8799999999992
-1,362209,33.090400745573156,286.1399999999994
-1,374985,34.602954971857415,289.7500000000018
-1,387673,33.39892873777364,297.0500000000002
