373,261
132,392
416,384
246,525
442,104
526,73
106,72
107,204
442,104
132,392
132,392
132,392
416,384
373,261
132,392
373,261
132,392
132,392
373,261
132,392
132,392
373,261
132,392
132,392
373,261
132,392
132,392
132,392
132,392
132,392
373,261
132,392
132,392
132,392
373,261
132,392
132,392
132,392
132,392
132,392
132,392
373,261
132,392
373,261
132,392
132,392
132,392
132,392
132,392
132,392
132,392
132,392
132,392
132,392
132,392
132,392
132,392
132,392
132,392
132,392
