throughput,latency,threads,p99 latency
65.98333333333333,810.634504608295,373,15491.0
67.06666666666666,735.8808098089535,132,15481.759999999998
66.41666666666667,1265.1482710926693,416,24244.080000000115
63.43333333333333,1639.9947886508394,246,31470.449999999997
66.46666666666667,966.1512775842044,442,15471.099999999999
6.133333333333334,29231.154166666667,526,57155.52
33.0,8084.756701030928,106,85873.12
64.51666666666667,8450.051187782805,107,137647.88999999998
46.35,6267.915498442368,442,31770.469999999994
67.9,1395.166803166803,132,15504.0
62.06666666666667,2398.244665302543,132,31478.34
67.6,2100.1289981496166,132,20470.879999999994
63.916666666666664,2376.68787446505,416,31441.219999999998
62.88333333333333,2492.9967995344778,373,31474.239999999998
63.68333333333333,2498.2865362485613,132,31479.53
63.11666666666667,2593.9477104874445,373,31484.42
64.13333333333334,2443.86133960047,132,26275.949999999993
62.766666666666666,2725.165259348613,132,31477.149999999998
65.51666666666667,2398.3762171732074,373,31405.699999999997
67.91666666666667,2091.7343839541545,132,16665.31000000001
67.06666666666666,2156.3516899766896,132,16454.0
70.5,2030.848476530332,373,16666.12
68.8,2134.066996795805,132,16822.3
68.63333333333334,2164.425317953268,132,16628.0
64.65,2736.431335236283,373,31456.3
65.88333333333334,2730.6897314375988,132,31492.289999999997
65.06666666666666,2889.491284699806,132,31486.01
66.23333333333333,2809.9707221860767,132,31537.5
67.96666666666667,2402.430551181102,132,16832.92
62.5,2924.786377708978,132,31473.84
66.61666666666666,2371.93125,373,16405.31
67.86666666666666,2429.31425800194,132,16865.3
64.41666666666667,3188.703898840885,132,31517.28
66.05,2624.35523613963,132,16929.469999999998
64.63333333333334,3092.568507890961,373,31462.870000000003
67.51666666666667,2567.5045747204335,132,16795.079999999998
64.6,2927.420133729569,132,17145.91
65.0,3218.7664897649734,132,31480.44
66.75,2879.371989625787,132,16911.0
67.28333333333333,2674.098869025903,132,16769.219999999998
68.98333333333333,2765.099707815924,132,16894.81
63.25,3433.151257096513,373,31473.329999999998
65.85,2961.0312012480495,132,16890.05
67.06666666666666,3004.745795854517,373,17758.10000000007
67.81666666666666,2970.034024247165,132,16945.84
65.93333333333334,3261.229141229141,132,27153.58000000006
66.21666666666667,3220.9603469640642,132,20448.58000000001
68.16666666666667,3046.688295687885,132,16812.100000000006
67.08333333333333,3776.8063801506423,132,31436.42
62.35,4231.18672985782,132,31591.92
65.88333333333334,3413.221286031042,132,17538.9999999999
66.45,3261.286082474227,132,16892.530000000002
67.61666666666666,3079.4211843202665,132,16724.049999999996
66.43333333333334,3253.940397350993,132,16823.68
66.03333333333333,3494.766459074733,132,17482.0
66.71666666666667,3323.0373101952273,132,16834.399999999998
65.03333333333333,3765.8774774774774,132,31469.37
66.0,3851.3150315031503,132,31557.0
68.01666666666667,3129.5792988313856,132,16750.290000000008
67.01666666666667,3169.5067911714773,132,16680.719999999998
