IRR,Request Count,Mean Latency (for window),99th Latency
0.0,106957,9.294035047879053,150.30091140000033
0.0,107021,42606.13657664286,92058.27414699999
0.0,156691,18.563909674446307,136.77434593999803
0.0,156710,50592.789176,172154.540632
0.0,156716,195256.92189599999,248545.977621
0.0,184917,53.44006589060998,116.0467072999995
0.0,184943,193123.91988714284,399666.621551
0.0,197084,132.377996105628,107.8442169799979
0.0,197095,194262.4239472857,477701.453683
0.0,197100,513865.15061779995,567819.8084559999
0.0,208215,167.3028371906264,141.50662163999914
0.0,215392,277.37323091722595,147.15404900000092
