IRR,Request Count,Mean Latency (for window),99th Latency
-1,38006,107.62990785256409,5046.119999999995
-1,62994,20.058847361490933,147.2600000000002
-1,87542,21.38593253357941,190.0
-1,112661,19.63000100270731,150.5
-1,137633,20.750670507599086,184.0
-1,161219,43.882263887271456,356.41999999999825
-1,185495,20.695139169019765,202.84000000000015
-1,210614,20.928778633590074,188.04000000000084
-1,235512,22.874558838358375,212.6399999999994
-1,259307,142.23804347826086,6174.040000000001
-1,283584,144.2973004557672,5760.0
-1,307928,22.036560822898032,159.19999999999706
-1,334001,387.72342977064903,13499.399999999998
-1,358282,128.85764253235396,5658.879999999975
-1,383963,22.436445332001995,228.7400000000016
-1,409955,19.41207402164021,152.0
-1,433658,151.33407886992347,6419.249999999995
-1,457840,35.83976788252013,314.1999999999971
-1,483169,23.56075797072388,242.11999999999716
-1,506680,32.64494163424124,276.0
-1,530621,156.99186991869917,6524.850000000003
-1,555580,23.736606166630217,265.9399999999896
-1,581271,323.80060679611654,13653.57
-1,605137,150.7888418079096,6250.0
-1,630353,20.26329892814609,165.0
-1,654027,153.4432182271271,6300.959999999988
-1,679298,20.8472040959743,171.75999999999837
-1,702799,155.03022010707912,6362.370000000003
-1,726298,177.15159705159704,7160.179999999999
-1,751499,20.637775296863897,174.90000000000146
