IRR,Request Count,Mean Latency (for window),99th Latency
-1,60944,0.0,0.0
-1,60944,0.0,0.0
-1,60944,0.0,0.0
-1,60944,0.0,0.0
-1,60944,0.0,0.0
-1,60944,0.0,0.0
-1,60944,0.0,0.0
-1,60944,0.0,0.0
-1,60944,0.0,0.0
-1,60944,0.0,0.0
-1,60944,0.0,0.0
-1,60944,0.0,0.0
-1,60944,0.0,0.0
-1,60944,0.0,0.0
-1,60944,0.0,0.0
-1,60944,0.0,0.0
-1,60944,0.0,0.0
-1,60944,0.0,0.0
-1,60944,0.0,0.0
-1,60944,0.0,0.0
-1,60944,0.0,0.0
-1,60944,0.0,0.0
-1,60944,0.0,0.0
-1,60944,0.0,0.0
-1,60944,0.0,0.0
-1,60944,0.0,0.0
-1,60944,0.0,0.0
-1,60944,0.0,0.0
-1,60944,0.0,0.0
-1,60944,0.0,0.0
