IRR,Request Count,Mean Latency (for window),99th Latency
0.0,4094,59.52032860600879,341.12128205000005
0.0,4111,70612.51451338461,95855.294186
0.0,5981,1025.9554045273255,132.9218164299998
0.0,7090,1295.4173555820348,5918.948420919006
0.0,8007,1912.9824346028447,76680.4640848504
0.0,8854,2897.3704163553716,148597.23909663962
0.0,8869,303371.61747359997,400460.72119899996
0.0,11153,771.051515773703,91.95759873000043
0.0,11172,206308.49356405262,524196.952338
0.0,13410,1218.254964486213,93.82318472000003
0.0,14268,3090.4296879592075,34428.96537336898
0.0,15272,4672.22033656095,115785.85715011961
