throughput,latency,threads
2.35,1661.1590944590162,178
1635.75,29.733833253447642,178
2340.65,19.905559929437636,178
10.3,20.103046919958864,160
0.45,24.02142404632756,151
0.1,20637.01845271875,149
0.3,71338.41183905883,143
0.1,111952.1663078,141
0.1,125789.6969098,139
0.1,148007.45251033333,137
0.1,164021.25542,135
0.1,185739.09486916664,133
323.0,228.92927822045172,178
1156.55,48.488404517622406,178
667.25,33.55657778752096,178
46.05,28.861864462496992,178
337.7,66.66826285218839,178
334.65,114.04807501607739,178
128.6,131.41693654685062,178
229.9,147.8326437085768,178
182.85,177.08394710196728,178
169.85,151.89049025320264,178
249.1,141.88631053622467,178
189.25,152.04677919549488,178
124.3,160.52422621105484,178
283.55,132.69096649304973,178
178.1,160.41622149082687,178
150.8,156.76871373735887,178
112.25,257.2492366300204,178
172.15,271.74777270676776,178
91.15,337.864084757023,178
169.75,321.73636838621405,178
183.0,276.873502663663,178
80.7,347.1050331320361,177
228.85,242.38717679504617,177
212.15,237.66221104226568,177
