178,149
20,74
75,36
90,82
400,20
20,20
400,200
81,53
250,20
20,200
310,110
285,200
166,20
400,109
321,37
238,82
102,200
352,142
20,137
285,74
209,20
354,81
125,44
265,129
160,200
190,61
70,159
400,67
400,148
216,200
153,94
322,81
231,48
186,34
52,60
283,20
311,110
87,111
250,20
307,109
308,113
247,20
78,54
83,51
83,54
283,23
286,20
280,22
170,20
167,23
205,21
212,20
397,151
399,145
191,64
187,63
194,61
163,20
282,26
214,196
219,199
188,57
