throughput,latency,threads,p99 latency,std dev,errors
0.6,212436.375,50,220865.0,12590.392980789531,812
0.7,221344.2142857143,50,228805.0,5973.252910698226,840
0.2,222749.8125,50,232603.0,6758.285070625042,874
0.2,226180.5294117647,50,245313.0,9093.812251454605,925
0.0,230737.63636363635,50,245313.0,7823.274995457174,971
0.1,244241.4,50,265486.0,13463.059915932932,999
0.3,264713.6666666666,50,278721.0,15773.980254414759,1092
0.5,279507.8888888889,50,283991.0,6087.513089194233,1132
0.5,284448.2857142857,50,298537.0,8542.336083194208,1175
0.1,287154.5,50,303373.0,8060.710817577777,1229
0.0,289810.0,50,303373.0,6923.63869652367,1272
0.0,295013.0,50,303373.0,4918.638958085865,1305
0.0,303373.0,50,303373.0,0.0,1380
0.4,345617.0,50,348302.0,3005.713559206865,1431
0.1,347985.39999999997,50,357459.0,5901.044678698849,1478
0.0,347985.39999999997,50,357459.0,5901.044678698849,1536
0.1,352038.8333333333,50,372306.0,11244.545049341334,1593
0.2,375580.5,50,389403.0,13994.409848221538,1626
0.1,385398.5,50,396731.0,10342.677167929009,1692
0.0,385398.5,50,396731.0,10342.677167929009,1744
0.0,389762.6666666667,50,396731.0,6795.6421575398845,1803
0.0,396731.0,50,396731.0,0.0,1859
0.1,437186.0,50,437186.0,0.0,1919
0.0,437186.0,50,437186.0,0.0,1954
0.0,437186.0,50,437186.0,0.0,2011
0.0,437186.0,50,437186.0,0.0,2068
0.0,0.0,50,0.0,0.0,2125
0.1,490043.0,50,490043.0,0.0,2177
0.0,490043.0,50,490043.0,0.0,2242
0.0,490043.0,50,490043.0,0.0,2278
0.1,503185.0,50,516327.0,18585.594636707214,2333
0.0,516327.0,50,516327.0,0.0,2382
0.2,527768.3333333333,50,534897.0,10008.024047399833,2440
0.0,527768.3333333333,50,534897.0,10008.024047399833,2507
0.0,533489.0,50,534897.0,1991.2126958213178,2577
0.2,550087.5,50,567309.0,19207.481138001065,2616
0.2,571215.0,50,576695.0,5311.384753527087,2661
0.2,576426.8333333334,50,588190.0,9101.42213979039,2723
0.0,576426.8333333334,50,588190.0,9101.42213979039,2772
0.2,588389.5,50,603502.0,12116.71699347641,2832
0.1,598471.2,50,613507.0,11566.475725129068,2899
0.2,614718.6,50,628010.0,12489.032420487985,2951
0.1,618774.5,50,639054.0,14949.33756057438,2986
0.2,633282.5,50,648996.0,12944.731959372506,3051
0.1,639534.8333333334,50,651021.0,10265.129096444267,3107
0.1,649768.4,50,666571.0,10517.072087800863,3172
0.1,656826.2,50,674343.0,13062.20803310068,3237
0.0,663978.3333333334,50,674343.0,11875.199422886897,3287
0.0,670457.0,50,674343.0,5495.633903381847,3325
0.0,674343.0,50,674343.0,0.0,3377
0.0,0.0,50,0.0,0.0,3442
0.0,0.0,50,0.0,0.0,3491
0.0,0.0,50,0.0,0.0,3553
0.0,0.0,50,0.0,0.0,3607
0.0,0.0,50,0.0,0.0,3646
0.1,769601.0,50,769601.0,0.0,3702
0.3,774656.75,50,778508.0,3751.6759255031607,3752
0.0,774656.75,50,778508.0,3751.6759255031607,3782
0.1,778849.7999999999,50,795622.0,9922.935336884946,3809
0.2,789261.8333333334,50,807169.0,14697.291715369422,3832
0.0,802181.6666666666,50,807169.0,5931.903263989841,3839
0.0,802181.6666666666,50,807169.0,5931.903263989841,3859
9.8,791198.4299999999,50,848367.5399999999,98057.42610515936,3884
7.1,751370.3372781065,50,851215.7,169060.10068326103,3904
1.6,749719.5081081081,50,857440.76,176227.8222163287,3913
5.9,663463.6516393442,50,870816.25,288483.79311278154,3921
10.5,578553.9123505977,50,875483.08,346698.81528863683,3923
20.2,353815.0785340314,50,883964.1699999999,389376.4484764527,3924
