throughput,latency,threads
836.3,2.702585166148697,200
1351.05,1.607508615567439,200
1323.7,1.4136444990548205,200
1322.25,1.6033738672126796,200
1298.35,1.835017405063291,200
1374.0,1.5650107464208953,200
1334.7,1.645687918201639,200
1314.2,1.5333808470049597,200
1330.85,1.4133189011982816,200
971.4,1.4625944831142046,200
1314.4,1.6564847850893876,200
1289.0,1.4870695486529564,200
1416.65,1.5065477251821977,200
1370.2,1.5164847388237013,200
1326.4,1.6488604334505843,200
1382.65,1.4093561881995,200
1318.0,1.4706775212082017,200
1306.0,1.649417046542808,200
1351.1,1.6011554239170676,200
1305.1,1.6620649690348885,200
1337.4,1.6707868490071187,200
975.25,1.8043054885249268,200
1322.85,1.5721349221384457,200
1336.1,1.725687684876624,200
1340.7,1.6858662477558348,200
1350.25,1.5410490720118781,200
1282.95,1.6166269134645421,200
1344.25,1.5989903477061826,200
1340.0,1.5238847147833252,200
1363.6,1.4315881834862385,200
1311.95,1.4890244609807288,200
1324.55,1.4234823266727217,200
1282.1,1.7066217357310398,200
1329.9,1.5275676113055585,200
1345.15,1.5190601035883295,200
1277.5,1.7583319860299023,200
