throughput,latency,threads
37.4,16.108635026737968,400
1414.4,6.456704927884615,400
1357.55,11.852699075268024,400
494.8,19.016194923857867,400
665.85,19.743154111903866,400
688.2,26.575393377001454,400
53.4,278.02102715355807,400
59.05,415.47495004233696,400
85.7,224.80364994165694,400
47.8,365.21949267782423,400
59.15,448.91133633904417,400
52.75,575.2546464454977,400
711.75,54.099456831752725,400
75.9,224.70930632411068,400
78.4,321.744600127551,400
841.5,52.87520647653,400
59.55,370.782685138539,400
77.95,1929.872444515715,400
67.75,656.0785623616237,400
71.85,1690.0743180236605,400
66.25,3156.5202618867925,400
73.6,491.86905570652175,400
63.85,573.2384273301737,400
56.8,88.72921122994651,400
100.7,396.92945928500495,400
59.3,436.6759561551433,400
152.45,91.21074909806494,400
42.35,2521.9661546635184,400
80.55,539.9139745499689,400
66.85,736.844626776365,400
75.1,2688.8505446071904,400
90.1,43.823972807991126,400
308.1,249.98045813047713,400
96.4,942.0680653526971,400
87.1,198.40517451205508,400
53.5,2947.2637261682244,400
