IRR,Request Count,Mean Latency (for window),99th Latency
0.0,9479,110.76468978404894,2291.68473360008
0.0,9656,3491.057061519774,87387.36589813998
0.0,10264,1826.6955537894737,121868.07651502985
0.0,10333,13411.553487304347,230849.211028
0.0,10341,245206.90041375,287360.567118
0.0,10346,326319.10221499996,354540.918288
0.0,11652,643.1940258451361,228.70821964000055
0.0,12160,4388.346075929133,381929.5942360166
0.0,12318,15660.19464477848,523089.45333531
0.0,12322,560712.4204665,578233.015679
0.0,12622,11084.85379758363,625608.08345225
0.0,13545,2607.45695388299,422.9321555199997
0.0,13582,81659.01197059458,765547.292421
0.0,14035,7459.946247653421,447049.8032224071
0.0,14042,513973.8304282,885934.368366
0.0,14047,787247.5844264,934753.637148
0.0,14052,805974.155362,994193.0263139999
0.0,15083,3154.9133487756535,146.05877344999993
0.0,15769,2337.3201634736843,322.1980007499978
0.0,15775,780316.4540166666,1158336.31641
0.0,16497,7123.4550654210525,3248.080478840109
0.0,16603,56870.71751162264,1309318.0619206396
0.0,17432,6615.956079939687,202.76898090000117
0.0,17555,44370.34266028455,1420738.07523804
0.0,18253,6881.087118876791,392.3896090099999
0.0,18316,85380.38381157142,1537996.671318
0.0,18555,34111.972033523016,1576261.1951093997
0.0,18774,25727.038272232876,1613926.8793074014
0.0,19309,8068.394852994307,792.0324162800099
0.0,19949,7709.855645851562,656.3697910500041
0.0,20005,114061.50123166072,1841111.489511
0.0,20198,23314.79075503627,1227743.5088937206
