181,294
376,571
509,302
516,530
120,392
428,374
477,136
119,399
480,144
477,136
476,133
476,138
478,136
178,302
184,287
175,288
176,278
190,294
486,153
111,387
113,384
109,390
108,385
113,389
166,292
130,387
481,164
484,166
477,164
483,161
481,166
490,168
491,148
500,174
523,303
496,301
104,402
99,408
107,409
97,401
96,415
92,414
93,417
94,412
89,414
100,415
99,416
100,414
100,414
102,415
327,112
141,168
144,165
138,171
144,172
137,165
154,516
153,510
149,513
157,511
