IRR,Request Count,Mean Latency (for window),99th Latency
-1,24922,20.31266702298236,273.7000000000007
-1,42020,18.938675101036722,236.31999999999968
-1,59087,17.129478538488826,206.0
-1,76073,16.56462943449245,209.05000000000018
-1,93223,17.23623853211009,200.6200000000008
-1,110161,16.095405738426333,149.1800000000003
-1,127085,15.852796341892367,154.47999999999954
-1,144107,14.81414387737328,141.77000000000044
-1,161354,15.314036617262422,141.28000000000065
-1,178504,14.972032986733597,133.19999999999982
-1,195697,16.549166087560806,207.15000000000146
-1,212911,17.01742957746479,207.3799999999992
-1,229918,14.37212568018255,113.15999999999984
-1,247152,15.192334616730836,147.0
-1,264054,15.336768558951963,179.65999999999804
-1,280984,16.15975912150195,191.0
-1,297888,14.755476402493322,139.36000000000058
-1,314811,14.921104185218164,146.2000000000007
-1,331530,14.877783716372706,132.0
-1,348581,16.13425279329609,165.71000000000004
-1,365612,15.202836879432624,158.15999999999985
-1,382521,16.707447758528307,213.0
-1,399701,17.46538392375472,247.7600000000002
-1,416830,14.450874346493599,121.51999999999951
-1,434223,15.352093342484558,151.42000000000004
-1,451205,16.17579001899499,198.0
-1,468303,15.179029462738301,137.57999999999993
-1,485230,17.002282704126426,179.27999999999972
-1,502231,15.617798262719376,150.73999999999978
-1,519343,14.877497827975674,153.8799999999992
